scenario_id,s,tau,delta_c,mean_Tover,mean_Trec,mean_Wq,mean_maxNq,mean_throughput,replications
s1.2_tau0_dc0,1.2,0.0,0,261.71095879689005,146.92441044152076,12.203121706309897,31.4,0.9222916666666668,10
s1.2_tau0_dc1,1.2,0.0,1,10.815257178679108,3.8532917664549218,1.3166795841446925,12.6,0.9252083333333333,10
s1.2_tau0_dc2,1.2,0.0,2,1.5838819647092748,2.2589370035630965,0.5752457468225798,7.5,0.93,10
s1.2_tau15_dc0,1.2,15.0,0,246.76636883324358,144.8487305942539,8.456701407775643,24.2,0.9104166666666667,10
s1.2_tau15_dc1,1.2,15.0,1,48.17210481175978,12.610430644493846,2.563816495721961,15.8,0.930625,10
s1.2_tau15_dc2,1.2,15.0,2,21.683354957803584,1.0954022263955552,1.0619916584248843,10.8,0.943125,10
s1.2_tau30_dc0,1.2,30.0,0,197.93515751580114,44.26892335674486,6.275179842531821,22.0,0.8839583333333335,10
s1.2_tau30_dc1,1.2,30.0,1,57.04420987522396,19.826757364713295,2.4338591709281188,14.4,0.9068750000000001,10
s1.2_tau30_dc2,1.2,30.0,2,40.56274522736424,2.6147218557566134,1.3575685234241452,13.4,0.9404166666666667,10
s1.2_tau60_dc0,1.2,60.0,0,274.71034788755907,171.2273991877076,14.615209585056899,36.0,0.9314583333333332,10
s1.2_tau60_dc1,1.2,60.0,1,77.82253499354162,12.800826120974552,2.453422421919382,15.4,0.9152083333333334,10
s1.2_tau60_dc2,1.2,60.0,2,81.22083431407606,2.0640809587860387,2.25628658331708,16.9,0.9191666666666665,10
s1.2_tau120_dc0,1.2,120.0,0,295.2730037933385,164.33285340850927,11.917685845278744,30.3,0.9049999999999999,10
s1.2_tau120_dc1,1.2,120.0,1,144.192260153862,43.291386725272226,4.66204379429132,23.6,0.9231250000000001,10
s1.2_tau120_dc2,1.2,120.0,2,141.6851237945906,27.3288974217634,5.097587371617318,24.9,0.9525,10
s1.5_tau0_dc0,1.5,0.0,0,357.7788948479457,224.26450896068417,26.32155236377555,52.4,0.9487500000000001,10
s1.5_tau0_dc1,1.5,0.0,1,161.2717591460982,50.67298549940215,5.915696588075432,29.4,1.0152083333333333,10
