time,Nq,Ns,c,regime,lambda,rho,policy_activated
0.0,0,0,4,normal,0.9,0.9,0
1.0,0,0,4,normal,0.9,0.9,0
2.0,0,0,4,normal,0.9,0.9,0
3.0,0,1,4,normal,0.9,0.9,0
4.0,0,3,4,normal,0.9,0.9,0
5.0,0,4,4,normal,0.9,0.9,0
6.0,1,4,4,normal,0.9,0.9,0
7.0,1,4,4,normal,0.9,0.9,0
8.0,1,4,4,normal,0.9,0.9,0
9.0,1,4,4,normal,0.9,0.9,0
10.0,1,4,4,normal,0.9,0.9,0
11.0,3,4,4,normal,0.9,0.9,0
12.0,3,4,4,normal,0.9,0.9,0
13.0,4,4,4,normal,0.9,0.9,0
14.0,3,4,4,normal,0.9,0.9,0
15.0,2,4,4,normal,0.9,0.9,0
16.0,4,4,4,normal,0.9,0.9,0
17.0,4,4,4,normal,0.9,0.9,0
18.0,5,4,4,normal,0.9,0.9,0
19.0,5,4,4,normal,0.9,0.9,0
20.0,4,4,4,normal,0.9,0.9,0
21.0,5,4,4,normal,0.9,0.9,0
22.0,5,4,4,normal,0.9,0.9,0
23.0,6,4,4,normal,0.9,0.9,0
24.0,6,4,4,normal,0.9,0.9,0
25.0,5,4,4,normal,0.9,0.9,0
26.0,4,4,4,normal,0.9,0.9,0
27.0,3,4,4,normal,0.9,0.9,0
28.0,4,4,4,normal,0.9,0.9,0
29.0,4,4,4,normal,0.9,0.9,0
30.0,4,4,4,normal,0.9,0.9,0
31.0,3,4,4,normal,0.9,0.9,0
32.0,3,4,4,normal,0.9,0.9,0
33.0,3,4,4,normal,0.9,0.9,0
34.0,4,4,4,normal,0.9,0.9,0
35.0,4,4,4,normal,0.9,0.9,0
36.0,4,4,4,normal,0.9,0.9,0
37.0,2,4,4,normal,0.9,0.9,0
38.0,4,4,4,normal,0.9,0.9,0
39.0,4,4,4,normal,0.9,0.9,0
40.0,2,4,4,normal,0.9,0.9,0
41.0,2,4,4,normal,0.9,0.9,0
42.0,0,4,4,normal,0.9,0.9,0
43.0,0,3,4,normal,0.9,0.9,0
44.0,0,2,4,normal,0.9,0.9,0
45.0,0,1,4,normal,0.9,0.9,0
46.0,0,1,4,normal,0.9,0.9,0
47.0,0,1,4,normal,0.9,0.9,0
48.0,0,0,4,normal,0.9,0.9,0
49.0,0,0,4,normal,0.9,0.9,0
50.0,0,0,4,normal,0.9,0.9,0
51.0,0,3,4,normal,0.9,0.9,0
52.0,0,2,4,normal,0.9,0.9,0
53.0,0,4,4,normal,0.9,0.9,0
54.0,0,1,4,normal,0.9,0.9,0
55.0,0,1,4,normal,0.9,0.9,0
56.0,0,1,4,normal,0.9,0.9,0
57.0,0,1,4,normal,0.9,0.9,0
58.0,0,1,4,normal,0.9,0.9,0
59.0,0,1,4,normal,0.9,0.9,0
60.0,0,1,4,normal,0.9,0.9,0
61.0,0,4,4,overload,1.35,1.35,0
62.0,1,4,4,overload,1.35,1.35,0
63.0,2,4,4,overload,1.35,1.35,0
64.0,2,4,4,overload,1.35,1.35,0
65.0,2,4,4,overload,1.35,1.35,0
66.0,0,3,4,overload,1.35,1.35,0
67.0,2,4,4,overload,1.35,1.35,0
68.0,1,4,4,overload,1.35,1.35,0
69.0,2,4,4,overload,1.35,1.35,0
70.0,3,4,4,overload,1.35,1.35,0
71.0,2,4,4,overload,1.35,1.35,0
72.0,1,4,4,overload,1.35,1.35,0
73.0,2,4,4,overload,1.35,1.35,0
74.0,4,4,4,overload,1.35,1.35,0
75.0,7,4,4,overload,1.35,1.35,0
76.0,8,4,4,overload,1.35,1.35,0
77.0,9,4,4,overload,1.35,1.35,0
78.0,8,4,4,overload,1.35,1.35,0
79.0,6,4,4,overload,1.35,1.35,0
80.0,7,4,4,overload,1.35,1.35,0
81.0,7,4,4,overload,1.35,1.35,0
82.0,7,4,4,overload,1.35,1.35,0
83.0,9,4,4,overload,1.35,1.35,0
84.0,10,4,4,overload,1.35,1.35,0
85.0,11,4,4,overload,1.35,1.35,0
86.0,12,4,4,overload,1.35,1.35,0
87.0,15,4,4,overload,1.35,1.35,0
88.0,14,4,4,overload,1.35,1.35,0
89.0,14,4,4,overload,1.35,1.35,0
90.0,14,4,4,overload,1.35,1.35,0
91.0,16,4,4,overload,1.35,1.35,0
92.0,18,4,4,overload,1.35,1.35,0
93.0,22,4,4,overload,1.35,1.35,0
94.0,22,4,4,overload,1.35,1.35,0
95.0,22,4,4,overload,1.35,1.35,0
96.0,26,4,4,overload,1.35,1.35,0
97.0,27,4,4,overload,1.35,1.35,0
98.0,26,4,4,overload,1.35,1.35,0
99.0,26,4,4,overload,1.35,1.35,0
100.0,28,4,4,overload,1.35,1.35,0
101.0,29,4,4,overload,1.35,1.35,0
102.0,29,4,4,overload,1.35,1.35,0
103.0,27,4,4,overload,1.35,1.35,0
104.0,29,4,4,overload,1.35,1.35,0
105.0,27,4,4,overload,1.35,1.35,0
